"Spørsmål","Alt 1","Alt 2","Alt 3","Alt 4","Fasit"
"Hva regnes som en typisk analysseenhet i samfunnsvitenskapelige studier?","Variabler","Hypoteser","Individ","Datapunkter","Individ"
"Hva kjennetegner en tverrsnittsstudie?","Den undersøker variabler på ett tidspunkt","Den følger samme variabler over tid","Den bruker eksperimentelle kontrollgrupper","Den analyserer endringer i tidsserier","Den undersøker variabler på ett tidspunkt"
"Hvilken filosofisk tilnærming legger vekt på observasjoner og målinger som grunnlag for kunnskap?","Konstruktivisme","Positivisme","Kritisk realisme","Post-positivisme","Positivisme"
"Hva beskriver et induktivt resonnement?","Å trekke generelle konklusjoner fra spesifikke observasjoner","Å starte med en teori og teste hypoteser","Å vurdere årsakssammenhenger eksperimentelt","Å bruke etablerte modeller for ny empiri","Å trekke generelle konklusjoner fra spesifikke observasjoner"
"Hva kalles en testbar prediksjon i forskning?","En variabel","En hypotese","En teori","En konstruksjon","En hypotese"
"Hva er hensikten med operasjonalisering i empirisk forskning?","Å formulere et nytt teoretisk rammeverk","Å designe eksperimenter","Å gjøre abstrakte begreper målbare gjennom spesifikke indikatorer","Å evaluere eksisterende teori","Å gjøre abstrakte begreper målbare gjennom spesifikke indikatorer"
"Hva menes med triangulering i samfunnsvitenskapelig forskning?","Å bruke flere intervjuere på én deltaker","Å kombinere flere metoder for å styrke resultatene","Å bruke en tre-delt intervjuplan","Å analysere data fra tre ulike populasjoner","Å kombinere flere metoder for å styrke resultatene"
"Hva er en forskningsspørsmåls primære funksjon?","Knytte problemstillingen til teori","Bryte ned problemstillingen i mindre, empiriske spørsmål","Bestemme metodevalg for å besvare problemstillingen","Beskrive bakgrunnen for problemstillingen","Bryte ned problemstillingen i mindre, empiriske spørsmål"
"Hva er typisk for en deduktiv metode?","Starte med spesifikke observasjoner","Utvikle teori basert på data","Testing av hypoteser basert på eksisterende teorier","Bruk av eksperimenter uten forankring i teori","Testing av hypoteser basert på eksisterende teorier"
"Hvilket design brukes ofte for å utforske nye temaer og identifisere nøkkelvariabler?","Deskriptivt design","Kausalt design","Eksplorativt design","Objektivt design","Eksplorativt design"
"Hvilket forskningsdesign vil du velge for en omfattende kartlegging av vanene til en befolkning?","Objektivt design","Deskriptivt design","Eksplorativt design","Kausalt design","Deskriptivt design"
"Hva er en vanlig metode som brukes i eksplorativ forskning?","Spørreundersøkelser med store utvalg","Fokusgrupper","Randomiserte eksperimenter","Statistisk analyse","Fokusgrupper"
"Hvilken metode er mest vanlig i kausalt forskningsdesign?","Observasjon i naturlige omgivelser","Eksperimenter med kontrollgrupper","Spørreundersøkelser uten hypoteser","Fokusgrupper med mange deltagere","Eksperimenter med kontrollgrupper"
"Hva er det viktigste kjennetegn ved kausalt forskningsdesign?","Det beskriver fenomener uten å teste sammenhenger","Det tester årsak og effekt sammenhenger mellom variabler","Det utvikler hypoteser om nye fenomener","Det fokuserer på historiske analyser","Det tester årsak og effekt sammenhenger mellom variabler"
"Hvorfor er fagfellevurdering av artikler viktig?","Forbedre lesbarheten av forskning","Forhindrer populærvitenskap","Sikrer kvalitet og pålitelighet","Gjør forskningen mer innovativ","Sikrer kvalitet og pålitelighet"
"Hva kjennetegner en fagfellevurdert artikkel?","Den er godkjent av universitetet der forskerne jobber","Den har gjennomgått en evaluering av eksperter i feltet","Den fokuserer på store samfunnsutfordringer","Den er skrevet av en professor","Den har gjennomgått en evaluering av eksperter i feltet"
"Hva er formålet med en litteraturgjennomgang?","Finne teoretiske rammer","Avdekke feil i tidligere forskning","Gi oversikt over eksisterende forskning og kunnskapshull","Kunne presentere relevante sitater","Gi oversikt over eksisterende forskning og kunnskapshull"
"Hvilken database egner seg til litteratursøk i samfunnsvitenskapelig forskning?","PubMed","Scopus","Google","MATLAB","Scopus"
"Hvilken av disse referansene er skrevet i APA7 format?","Serra, Renata, and Kelly A. Davidson. 'Selling tomatoes together' Journal of Agricultural Economics 72.1 (2021): 202-223.","Serra, R., & Davidson, K. A. (2021). Selling tomatoes together. Journal of Agricultural Economics, 72(1), 202-223.","Serra, Renata, and Kelly A. Davidson. 'Selling tomatoes together' Journal of Agricultural Economics 72, no. 1 (2021): 202-223.","Serra R, Davidson KA. Selling tomatoes together. Journal of Agricultural Economics. 2021 Feb;72(1):202-23.","Serra, R., & Davidson, K. A. (2021). Selling tomatoes together. Journal of Agricultural Economics, 72(1), 202-223."
"Hvilken av følgende lenker er et eksempel på en permanent lenke til en akademisk artikkel?","https://doi.org/10.1111/1477-9552.12399","https://www.springer.com/10.1111/1477-9552.12399","https://www.elsevier.com/10.1111/1477-9552.12399","https://www.taylorandfrancis.com/10.1111/1477-9552.12399","https://doi.org/10.1111/1477-9552.12399"
"Hvilken av følgende lenker er en permanent lenke til en masteroppgave ved NMBU?","https://hdl.handle.net/11250/3153102","https://www.nmbu.no/masteroppgave/11250/3153102","https://www.duo.no/11250/3153102","https://nmbu.brage.unit.no/nmbu-xmlui/11250/3153102","https://nmbu.brage.unit.no/nmbu-xmlui/11250/3153102"
"Hvilket av følgende verktøy brukes til referansehåndtering i akademiske arbeider?","RefTrack","Zotero","Biblylic","SourceSync","Zotero"
"Hva er formålet med en kildehenvisning?","Å erstatte behovet for original tekst","Å gi kreditt til kilder og støtte påstander","Å gjøre teksten lettere å lese","Å eliminere behovet for referanseliste","Å gi kreditt til kilder og støtte påstander"
"Hva kjennetegner en narrativ henvisning i teksten?","Referansen vises i parentes","Referansen flettes inn som en del av teksten","Kun sidetall er oppgitt","Forfatter og årstall utelates","Referansen flettes inn som en del av teksten"
"Hva refererer reliabilitet til i forskningssammenheng?","Hvor godt målingen reflekterer virkeligheten","Stabilitet og konsistens i målingene","Hvorvidt målingen kan generaliseres","Fraværet av skjevheter i analysen","Stabilitet og konsistens i målingene"
"Hvilke av disse beskriver intern validitet?","Hvor godt resultatene kan generaliseres","Nøyaktigheten av spørreskjemaets spørsmål","Hvor godt designet tester kausale forhold innen utvalget","Stabiliteten i resultatene over tid","Hvor godt designet tester kausale forhold innen utvalget"
"Hva er en systematisk feil i spørreskjemaer?","Feil forårsaket av tilfeldig variasjon","Feil introdusert av forskerens analyser","Konsistente skjevheter i dataene","Manglende data fra utvalget","Konsistente skjevheter i dataene"
"Hva kan redusere eksterne validiteten i en studie?","Bruk av for mange respondenter","Å teste hypoteser på et for lite utvalg","At funnene kun gjelder spesifikke grupper eller kontekster","At undersøkelsen ikke er replikerbar","At funnene kun gjelder spesifikke grupper eller kontekster"
"Hva er en spurios sammenheng?","En sammenheng som er statistisk korrekt, men ikke gyldig i praksis","En tilsynelatende sammenheng mellom variabler forårsaket av andre variabel","En sammenheng som eksisterer kun i en bestemt populasjon","En sammenheng basert på ufullstendige data","En tilsynelatende sammenheng mellom variabler forårsaket av andre variabel"
